Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo
Midnight City,M83
Water No Get Enemy - Edit,Fela Kuti
Her Fantasy,Matthew Dear
Monster Mash,Bobby "Boris" Pickett
Pieces,Tanlines
I'll Do a Little Bit More,The Olympics
Walking Into Sunshine,Central Line
Hold Me Back,Rick Ross
One of Those Nights,Juicy J
Give It Away,Red Hot Chili Peppers
Holding On - Jerome LOL Remix,Classixx
Your Soul,Hippie Sabotage
My Main,Mykfresh
Do I Love You?,The Ronettes
Dreams Never End - 2015 Remastered Version,New Order
Just Say The Word,Jerry Townes
Episode I - Duel of The Fates,John Williams
Something About You,Hayden James
I Want You,Chris Lake
Blue Ballad,Phil Woods
You Go To My Head,Art Pepper
My Romance,Gene Ammons
Piano Quartet in E flat, Op.47: 3. Andante cantabile,Robert Schumann
Trio No. 2 en Mi Mineur, Op. 92: III. Andante con moto,Camille Saint-Saëns
String Quintet in C Major, Op. 29: II. Adagio molto espressivo,Ludwig van Beethoven
