Parallel Lines,Junior Boys
Sneakin’,Drake
I've Seen Footage,Death Grips
Cemalim,Erkin Koray
One Night,Lil Yachty
Bouncin,Chief Keef
C O O L - Radio Edit,Le Youth
Char,Crystal Castles
Please Stop Making Fake Versace,Father
Blasé (feat. Future & Rae Sremmurd),Ty Dolla $ign
Hercules,Young Thug
Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold
Poppin' My Collar,Three 6 Mafia
Jumpman,Drake
7/11,Beyoncé
Monster,Kanye West
OOOUUU,Young M.A.
Right Place Wrong Time,Dr. John
Odofo Nyi Akyiri Biara,Ebo Taylor
Annie,Neon Indian
The Chase,Future Islands
Wishes,Beach House
White Iverson,Post Malone
Loud Places,Jamie xx
Baby,Ariel Pink's Haunted Graffiti
Fail to Cry,Yacht Club
Evil Friends (feat. Danny Brown) - Jake One Remix,Portugal. The Man
Get Away,CHVRCHES
Spooky,Dusty Springfield
Uncast Shadow Of A Southern Myth,Parquet Courts
Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat
Hot Blur,How Sad
I Need You Tonight,Punkin Machine
Everybody Likes Something Good,Ify Jerry Crusade
Swerve,ILoveMakonnen
Let It Happen,Tame Impala
My Way (feat. Monty),Fetty Wap
The Magnificent Seven - Remastered,The Clash
Slumlord,Neon Indian
Willing & Able,Disclosure
White Girl,Shy Glizzy
Queen's Speech 4,Lady Leshurr
679 (feat. Remy Boyz),Fetty Wap
Speakerbox (feat. Lafa Taylor),Bassnectar
Movin' Bass - GTA Remix,Rick Ross
Danger and Dread,Brown Bird
Hercules Theme,Hercules & Love Affair
Rewind,Kelela
My Sub (Pt. 2: The Jackin') - Album Version (Edited),Big K.R.I.T.
Kush,Lil Wayne
Magnets,Disclosure
Don't Move,Phantogram
Black Mags,The Cool Kids
Stay Fly - Explicit Album Version,Three 6 Mafia
Poppin' My Collar - feat. Project Pat - Explicit,Three 6 Mafia
Sittin' Sidewayz - feat. Big Pokey Explicit,Paul Wall
Gold and a Pager,The Cool Kids
Endless Rhythm,Baio
Nothing Ever Happened,Deerhunter
Oh My Darling Don't Meow (Just Blaze Remix),Run The Jewels
River,Ibeyi
Blood On the Money,Future
River,Leon Bridges
Trust Me Danny,ILoveMakonnen
Big Rings,Drake
Acamar,Frankey
Deicide,Crystal Castles
Hercules Theme 2014,Hercules & Love Affair
Forever,Majid Jordan
Papi Pacify,FKA twigs
Magnolia,Young & Sick
Callie (feat. Vic Mensa),Donnie Trumpet
Wu-Tang Forever,Drake
Fame (2007 Remastered),David Bowie
We Dem Boyz,Wiz Khalifa
Little People (Black City),Matthew Dear
Let Me Show You Love,Cut Copy
Okay,Holy Ghost!
Goody Two Shoes,Duck Sauce
Awake,Tycho
Man I Need,Jagwar Ma
N.O. Bounce,Big Freedia
Now Is Not The Time,CHVRCHES
Holdin On,Flume
Marriage,Gold Panda
Ride On / Right On,Phosphorescent
Junk of the Heart (Happy),The Kooks
Mercy,Kanye West
We Exist,Arcade Fire
How Did I Get Here,ODESZA
Black Out Days,Phantogram
Unbound,Cathedrals
Come Save Me,Jagwar Ma
Hannah Montana,Migos
They Come in Gold,Shabazz Palaces
Tides of Neptune,Virgo
Heaven And Hell Is On Earth,20th Century Steel Band
Flying High (Part 1),Cloud One
Go,Grimes
Spill The Wine,Eric Burdon
Dangerous (feat. Joywave),Big Data
Hold On We're Going Home,ASTR
Uncle ACE,Blood Orange
San Francisco,Foxygen
Glad I Met You,D. Gookin
You Know I'm No Good - Ghostface UK Version,Amy Winehouse
Kill V. Maim,Grimes
Life Round Here,James Blake
Glyde 2nyte (feat. Leon Sylvers III, Leon Sylvers IV),Dâm-Funk
Clouds Over the Pacific,James Pants
Better,Banks
Exchange,Bryson Tiller
Cool It Now,New Edition
Jumpin' Jack Flash,Ananda Shankar
You Know You Like It - Bondax Remix,AlunaGeorge
So Destroyed (channeling Rage Peace),Prince Rama
Apathy,Shlohmo
